Term	Frequency
1,564mm		1
95–100mph		1
153–161kmh		1
groundedthe		1
saraguay		1
august–september		1
63deaths		1
107fatalities		1
85of		1
reportedearly		1
5,200houses		1
maineon		1
dayscontinuing		1
0200		1
21-mile-wide		1
september14at		1
1,700united		1
portbeginning		1
90boeing		1
b-47		1
stratojets		1
77storm		1
10,000peopleat		1
loweredhurricane		1
$900		1
af343		1
abidjan		1
sdar		1
senghor		1
63people		1
august30hurricane		1
28.1inhg		1
collapseddespite		1
8.78		1
capsizedwhile		1
16.23in		1
412mm		1
107people		1
humacaoin		1
80houseson		1
abrahams		1
173mph		1
hoursfifty		1
$3.35billion		1
1961donna		1
104-foot		1
32m		1
normalin		1
2,317others		1
71people		1
564homes		1
1,382		1
placeslarge		1
153homes		1
1,049		1
areathroughout		1
2,156homes		1
3,903		1
30,524		1
391farm		1
989suffered		1
174buildings		1
1,029		1
4,254		1
281boats		1
14confirmed		1
1,188		1
telephone-service		1
bladen		1
26,000,000lb		1
lawns		1
hillwinds		1
8.99		1
hammonton		1
cliffwood		1
sorgham		1
treein		1
88,000homes		1
portsmouthstrong		1
southwest-facing		1
seawallsin		1
7.25		1
washoutsalong		1
20boats		1
dirigo		1
auburn-lewiston		1
destroyedafter		1
injuriesnobel		1
prize-winner		1
camper-shell		1
poodle		1
foreshadowed		1
fearless		1
reckless		1
hurricanefollowing		1
christmascoral		1
muddied		1
neckbecause		1
september171961while		1
8deaths		1
hurricane-spawned		1
11farms		1
5people		1
deathsas		1
nicaraguait		1
995mbar		1
29.4inhg		1
29.0inhg		1
timeshortly		1
280kmhalthough		1
coupland		1
september17occurring		1
90–100%		1
seawallcarla		1
115tornadoes		1
hurricaneabnormally		1
18.5		1
5.6m		1
12.6		1
17.48		1
444mm		1
419mm		1
14.94		1
379mm		1
13.05		1
331mm		1
12.55		1
12.47		1
317mm		1
flatonia		1
10.59		1
269mm		1
hallettsville		1
smithvillethe		1
4,260homes		1
43businesses		1
26public		1
3others		1
6commercial		1
40additional		1
channelview		1
24-kilometer		1
230-yard-wide		1
sixhomes		1
latex		1
twoinjuries		1
threegaragesthen		1
newsman		1
imitated		1
rathers		1
460injuries		1
465		1
citrusin		1
5.57		1
4.25		1
3.16		1
jonesville		1
11tornadoes		1
199injuries		1
damagecarla		1
2–8		1
51–203mm		1
washita		1
atoka		1
pushmataha		1
7.68		1
140city		1
225homes		1
90homes		1
$670,000in		1
$600,000to		1
$70,000to		1
8.18		1
208mm		1
6.29		1
2.5–3.5		1
64–89mm		1
60viaducts		1
1,000basements		1
onrush		1
$75,000in		1
wilmette		1
harborwinds		1
8.52		1
haddam		1
4drowned		1
marmaton		1
5.68		1
hubbrell		1
brookfield		1
9.34		1
237mm		1
9.03		1
chariton		1
6.07		1
boyne		1
7.58		1
4.44		1
5.48		1
139mm		1
6.37		1
91mm		1
indianain		1
colomas		1
cartas		1
3.89		1
99mm		1
clarkson–port		1
branchesshortly		1
18different		1
88united		1
category5hurricane		1
november1hattie		1
11.5in		1
290mm		1
losses[nb		1
hondurasfor		1
hattieafter		1
991mbar		1
americawith		1
1932season		1
1998hattie		1
weatherupon		1
evacuatehurricane		1
tehuantepecdespite		1
admirar		1
11.5inches		1
292mm		1
7.8inches		1
198mm		1
hillsboro		1
georgialater		1
11deaths		1
injuryhurricane		1
thornley		1
insane		1
100of		1
warningafter		1
matchsticks		1
4,000homeless		1
bushland		1
hattieville		1
decadeabout		1
200british		1
10,000in		1
458,000lb		1
208,000kg		1
$300,000in		1
c$75,000worth		1
suppliesby		1
hatties		1
cadle		1
20millionin		1
hurricanedue		1
7,186		1
cayenne		1
laterflora		1
70minutes		1
environmentafter		1
470km		1
430km		1
struckon		1
carmelo		1
countryofficials		1
330miles		1
530km		1
sizethroughout		1
$525million		1
$4.11billion		1
casualtieshurricane		1
interestsabout		1
castara		1
tobagos		1
1963usdwinds		1
chaguaramas		1
thereflora		1
39.43		1
1,002mm		1
unpassable		1
derez		1
miragone		1
1,400mm		1
grise		1
plantationsstrong		1
regrownabout		1
1963usdstrong		1
100.39		1
2,550mm		1
recordheavy		1
$11.9million		1
17.19		1
437mm		1
tobagonian		1
heightin		1
damagesdue		1
156people		1
890miles		1
1432.3km		1
20–as		1
993mb		1
hurricanecleo		1
augustcleo		1
newfoundlandearly		1
iigemini		1
29official		1
c-124		1
islandmoderate		1
4.95inches		1
125.7mm		1
matrullas		1
19.99inches		1
507.8mm		1
100–105mph		1
kmh–170kmh		1
32degrees		1
967.6mb		1
28.57inches		1
20–35mile		1
30km–50km		1
620,000		1
blazed		1
4–6feet		1
1.2m–1.8m		1
9.37inches		1
stuartthe		1
borderscleo		1
storyland		1
cleoheavy		1
356mm		1
touchdownsthe		1
1968after		1
husband-wife		1
fivefold		1
pre-canal		1
daylater		1
september16along		1
deathshurricane		1
trinidadupon		1
27.82inhgwhile		1
9mbar		1
0.27inhg		1
hoursaround		1
1220am		1
newfoundlandupon		1
subsidedoverall		1
demolishedjacksonville		1
3,992suffered		1
25experienced		1
fab		1
bootleg		1
imeson		1
20,000fans		1
starrs		1
40residences		1
500others		1
25small		1
impactin		1
14beach		1
2car		1
vilano		1
monson		1
hubcap		1
1,027homes		1
19others		1
alonehigh		1
then-state		1
1,800people		1
pomona		1
welakawest		1
10,000sqmi		1
26,000km2		1
23.73in		1
603mm		1
14.62in		1
371mm		1
11.7in		1
11.46in		1
291mm		1
20county		1
8others		1
countyfarther		1
25dwellings		1
25,000usgal		1
21,000impgal		1
stengel		1
half-basements		1
matherly		1
225dwellings		1
36mobile		1
4businesses		1
destroyedat		1
18.62in		1
473mm		1
219other		1
80small		1
effectsmany		1
25severely		1
30mobile		1
10small		1
30boats		1
demolishedin		1
sixty-three		1
1,000sqft		1
deleon		1
grapefruits		1
twenty-nine		1
15trailers		1
impactedin		1
courthousesome		1
floodedmany		1
25other		1
35%-40%		1
glynn		1
georgiaa		1
100ships		1
95kmhfollowing		1
farris		1
spessard		1
helicopterthe		1
us$126million		1
38deaths[nb		1
1]hilda		1
trawl		1
october5originating		1
$126million		1
1964usd		1
hildahildas		1
northfollowing		1
october5the		1
placeevacuation		1
2,000oil		1
boxcars		1
3,400evacuees		1
10,000cots		1
35,000cattle		1
80%of		1
evacuatedthough		1
tatum		1
scrammed		1
hildathe		1
cornelia		1
13oil		1
5beyond		1
11,869barrels		1
14crewmembers		1
driller		1
190kmhthe		1
1–1.5mi		1
1.6–2.4km		1
165others		1
35homes		1
coteau		1
kleb		1
outagesdata		1
fer		1
treesdespite		1
17.71in		1
98%of		1
unpicked		1
2,600residences		1
357were		1
hospitalizedeffects		1
mccomb-pike		1
12.57in		1
460telephone		1
30,000individual		1
3,000were		1
destroyedinteracting		1
8.91in		1
226mm		1
october4–5		1
wewahitchka		1
12.42in		1
315mm		1
limbsrainfall		1
12.73in		1
323mm		1
inundatedtorrential		1
11.66in		1
12.02in		1
october4–6		1
keowee		1
saluda		1
rainsafter		1
september1965		1
northwestwardly		1
september13as		1
deathsbetsys		1
day[nb		1
post-analysisupon		1
hurricane-equivalent–		1
4]–		1
caicoshowever		1
953mbar		1
28.15inhg		1
mexicosituated		1
september13at		1
atlas-centaur		1
glynco		1
21jet		1
vigil		1
statesafter		1
227residents		1
240people		1
9,000hot		1
8,000hamburgers		1
6,000servings		1
lumbers		1
phase2		1
prioron		1
villas[nb		1
measuresupon		1
september7early		1
watchesthe		1
$1.425billion		1
unsurpassed		1
september6–8		1
downrange		1
28.40inhg		1
failureoffshore		1
wavespassing		1
shrubbery		1
holed		1
500american		1
bahamason		1
20hours		1
frazers		1
repairacross		1
tarpum		1
populationsbeginning		1
28.12inhg		1
25,000telephones		1
prostrated		1
destroyedmuch		1
7.7ft		1
beachcoastal		1
6.1ft		1
1.9m		1
residencesoffshore		1
houseboats		1
beachprecipitation		1
11.80in		1
10.52in		1
267mm		1
betsyeight		1
lloyds		1
us$5.7million		1
1965dollarshurricane		1
overbetsy		1
watersthese		1
arabi		1
schiro		1
aidit		1
164,000		1
landfallevidence		1
unfashionable		1
1980smany		1
mtc-602		1
22,641disruptions		1
1965usdthough		1
4.7ft		1
56in		1
september9–10		1
20–25percent		1
negligiblealthough		1
3.39in		1
guntersville		1
cullman		1
300fruit		1
$5,500–$55,000in		1
$500,000in		1
august1965		1
ensuedalthough		1
0.51mm		1
2.4ft		1
0.73m		1
september10–11		1
8.02in		1
50–70mph		1
80–113kmh		1
statewidein		1
3–6in		1
76–152mm		1
cario		1
kentuckys		1
35mobile		1
gallatin		1
6.01in		1
25–35mph		1
40–56kmh		1
bolls		1
difficultfurther		1
3.64in		1
92mm		1
randleman		1
88mm		1
ailey		1
2.21in		1
september11–13		1
1.5in		1
1.83in		1
46mmthe		1
2005due		1
$50million[nb		1
timecontinuing		1
800houses		1
$15.5million		1
74deaths		1
september26on		1
micro-hurricane		1
970mbar		1
hurricanewhile		1
987mbar		1
october2shortly		1
october11the		1
65advisories		1
closedalong		1
groundsoverall		1
6.5in		1
dominicain		1
peuelas		1
20houseshurricane		1
800homes		1
ozama		1
juancho		1
1,000deaths		1
750deaths		1
1963a		1
500houses		1
21,000people		1
38people		1
14.31in		1
363mm		1
$15.5millionin		1
seaswhen		1
1985when		1
3.1ft		1
0.94m		1
pierswhile		1
severeat		1
10.12in		1
tambesi		1
74people		1
20,000pounds		1
vmm-365		1
454hours		1
740sorties		1
186,676tons		1
142hospital		1
5,000troops		1
murchison		1
4,360pounds		1
cv-66		1
1,700hours		1
44boat		1
flood-affected		1
growingthe		1
essa-5		1
convectionshower		1
activityeast		1
2,000ft		1
1010mbar		1
28.23inhg		1
285km		1
barbadosa		1
27.75inhg		1
thickduring		1
doria		1
inner-eye		1
3–4mi		1
5–6km		1
september11skirting		1
60mbar		1
1.77inhg		1
425mi		1
685km		1
cubamoving		1
964mb		1
28.47inhg		1
923mbar		1
27.25inhg		1
260kmhregarded		1
951mbar		1
28.09inhg		1
mexicofollowing		1
republicacross		1
areasbeginning		1
ingleside		1
18hour		1
11.85in		1
301mm		1
15lives		1
1,000residents		1
stormheavy		1
9.76		1
248mm		1
$150,000owing		1
haitibeulah		1
damagestriking		1
600yd		1
pesosin		1
edinburg		1
pharr		1
hitthe		1
36hour		1
beeville		1
falfurrias		1
areaanimal		1
congregating		1
predaceous		1
groundhurricane		1
us$1.41billion		1
2010dollars		1
stormacross		1
september18the		1
22camille		1
achievedthe		1
caymanupon		1
mexicoinitially		1
26.82inhg		1
00		1
august17as		1
26.58inhgthe		1
10,000cattle		1
6,000turkeys		1
marksby		1
leavemaking		1
180km2		1
143people		1
8,931people		1
5,662		1
13,915		1
evacuateas		1
1969usdin		1
1969usdthe		1
27.80		1
941hpa		1
28.75		1
974hpa		1
buras		1
ostrica		1
overwashed		1
5.23		1
$322		1
betsyin		1
10.06		1
256mm		1
wrights		1
destroyedmore		1
$950		1
mississippione		1
gomer		1
pyle		1
hagman		1
geer		1
milner		1
gerlach		1
irritation		1
tired		1
storythe		1
katrinaalabama		1
3-to-5-foot		1
6.52		1
4.16		1
stationcamille		1
westvirginia		1
damagebecause		1
moisturea		1
huffmans		1
massies		1
roseland		1
tyro		1
lovingston		1
12.6m		1
$140		1
3-5hour		1
19–20		1
28.6		1
mountainsides		1
660mm		1
hatt		1
buena		1
feetthroughout		1
3,765		1
$140.8million		1
$747million		1
2005usdcamille		1
901		1
919mb		1
230mph		1
370kmh		1
7.3mthe		1
flashlight		1
third-story		1
river-distance		1
rougein		1
$76million		1
$403million		1
16,500military		1
needson		1
keesler-based		1
closedlong-term		1
$159million		1
analogize		1
experiencedin		1
plansone		1
harveydue		1
1972-1980		1
seasonsalthough		1
daughterhistorical		1
august3in		1
28deaths		1
1970usd		1
cubaearly		1
celias		1
stalking		1
hurricaneunexpectedly		1
39mbar		1
1.2inhg		1
945mbar		1
august3celia		1
flattenedas		1
12lifeguard		1
$434million		1
$310million		1
$8.8million		1
15fatalities		1
466others		1
15minute		1
102mmin		1
artesia		1
85–90mph		1
137–145kmh		1
doubtfulproperty		1
frio		1
inflected		1
$250,000-$500,000		1
2other		1
damagedamage		1
langtry		1
70.1m		1
$707,500		1
sandia		1
1fatality		1
uvalde		1
yoakum		1
impact
the		1
7.26		1
derricks		1
800–900family		1
locationtwo		1
knownfollowing		1
1,300,000		1
990,000m3		1
$1.8million		1
university-corpus		1
twia		1
texasdue		1
groundupon		1
$162million		1
august1974		1
appearedon		1
1800coordinated		1
928mbar		1
roothe		1
texasinitial		1
35,000residents		1
groundalthough		1
swerve		1
100,000residents		1
officialshurricane		1
5.91in		1
passagefollowing		1
namealthough		1
damagefollowing		1
1,000mi2		1
2,590km2		1
severecarmen		1
13in		1
atmore		1
2,380,500		1
963,400ha		1
742,300		1
300,400ha		1
590,000		1
308,000		1
125,000ha		1
16parishes		1
doubly		1
cottontidal		1
$114,600		1
repairman		1
kaplan		1
fifi%e2%80%93orlene		1
pacificearly		1
mudslidesin		1
sincehurricane		1
turnthe		1
971mbar		1
28.67inhg		1
485km		1
acrossalthough		1
orlenes		1
developmentafter		1
then-tropical		1
windsfifi		1
unrelenting		1
fifis		1
skidded		1
shipscontinuous		1
torrent		1
2,800–5,000		1
catastropheother		1
omoa		1
3,000although		1
blanketing		1
third-deadliest		1
deadthroughout		1
affectedofficials		1
14.5in		1
370mm		1
conquista		1
chiquito		1
izapa		1
tamarindo		1
jinotega		1
wiwili		1
clung		1
treetops		1
riveralthough		1
arizonafollowing		1
retiredin		1
september24four		1
machetes		1
motorboats		1
daysby		1
independencedonation		1
recedefrom		1
816,000kg		1
custom-designed		1
wrappers		1
teain		1
hoarded		1
survivedfollowing		1
decifit		1
$153millionin		1
fifi–orlene		1
impairedwind-related		1
$560million		1
disjointed		1
hansa		1
september17the		1
landcombined		1
northleft		1
955		1
precipitationin		1
cubana		1
aviacin		1
orienteon		1
loudspeakers		1
floridaa		1
second-stage		1
openingsas		1
areasdespite		1
33.29		1
846mm		1
out-of-serviceas		1
availablerain		1
stormeloise		1
sparsity		1
valparaiso		1
eloises		1
raindamage		1
tangle		1
2,100-acre		1
850ha		1
1,500,000		1
680,000kg		1
recoverythe		1
801,000		1
612,000m3		1
geographicy		1
5.54		1
14.23		1
361mm		1
9.08		1
231mm		1
levelspennsylvania		1
monocacy		1
potomacswelled		1
25–26		1
tumbled		1
postponedafter		1
1.21km		1
dataon		1
kline		1
storm-ravaged		1
$430		1
unknowna		1
7kmh		1
louisianawith		1
2mbar		1
scalehurricane		1
145miles		1
235km		1
25hours		1
peninsulashortly		1
brownwood		1
58,000people		1
texasthough		1
35,000people		1
sheltersas		1
galliano		1
4.97inches		1
windowshurricane		1
160kmhthe		1
greta%e2%80%93olivia		1
september23taking		1
125houses		1
443km		1
ricocheted		1
protruding		1
0710utc		1
scaledespite		1
chiapashurricane		1
crossingearly		1
islandlate		1
castilla		1
hondurasacross		1
potuca		1
26houses		1
cropsat		1
50houses		1
guanacaste		1
electrocutionfollowing		1
100,000lb		1
45,000kg		1
13–person		1
hondurasin		1
productionalthough		1
zenon		1
1,400km		1
drenching		1
islandsafter		1
clipping		1
nationsome		1
400,000people		1
areadavid		1
hurricaneduring		1
roadsdamage		1
woodon		1
wellmost		1
unknownaside		1
caravelle		1
homelessguadeloupe		1
damagesthe		1
10–12inches		1
damageshurricane		1
sufferedthough		1
19.9inches		1
505mm		1
regiondespite		1
electrocutionsupon		1
rail-mounted		1
haina		1
sea-land		1
jarabacoa		1
bannearly		1
guzmn		1
$2.8billion		1
2005usdneighboring		1
countrywhile		1
70–80mph		1
115–130kmh		1
minimaldavid		1
$320million		1
deathsupon		1
two-fourfeet		1
0.6–1.2m		1
obtuse		1
8.92inches		1
gustsbecause		1
fronton		1
140-m		1
$270		1
three–fivefoot		1
0.9–1.5m		1
twoweeks		1
surfupon		1
ussbowenff-1079		1
usssierraad-18		1
174mph		1
10.73inches		1
273mm		1
fiveinches		1
8.8feet		1
fivefeet		1
coastlineoverall		1
fiveimmediately		1
battery-operated		1
1770sanother		1
stormhms		1
servicedespite		1
complacent		1
[raised		1
alarm]		1
maclay		1
caddyshack		1
lauderdalethe		1
us$2.3billion		1
americafrederic		1
1979[nb		1
$6–9billion		1
$188million		1
dayfrederic		1
northwestfavorable		1
86f30c		1
943mbar		1
27.85inhg		1
215kmh[nb		1
landfalls–		1
mississippi–		1
september16the		1
24emergency		1
precense		1
daviddespite		1
cycloneafter		1
58emergency		1
workdays		1
byup		1
arrivaleffects		1
crewas		1
50families		1
priming		1
24.04in		1
611mm		1
croixall		1
highway3		1
ricoheavy		1
minimalfrederics		1
250dwellings		1
1,200people		1
highstorm		1
2.4-3.7		1
$7.5		1
impactas		1
180mmfrederic		1
alabamamississippi		1
areas8		1
mississippifrederic		1
5.39in		1
sainte-anne-de-bellevue		1
3.03in		1
seven-car		1
c$8.238million		1
us$7.095millioneleven		1
fredericbecause		1
seasonhurricanes		1
305kmh[nb		1
hemispherethroughout		1
$1.24billion		1
heatallen		1
1,300mi		1
westwardat		1
38mi		1
946hpa		1
911mbar		1
911hpa		1
26.9inhg		1
35mbar		1
35hpa		1
1.0inhg		1
899mbar		1
899hpa		1
26.5inhg		1
allens		1
seaallen		1
909mbar		1
909hpa		1
11as		1
6as		1
11allen		1
damselfishes		1
cubaextensive		1
220people		1
835,000		1
floodingareas		1
breakage		1
18-story		1
12-story		1
spohn		1
sparsely-populated		1
coastallen		1
summer-long		1
1980because		1
fifth-lowest		1
899		1
3days		1
$1.7billion		1
historyhurricane		1
1,103days		1
probabilitieshurricane		1
350miles		1
160miles		1
255km		1
deepeningat		1
201km		1
962mbar		1
28.41inhg		1
double-eye		1
nebraskaseveral		1
uncrossablegalveston		1
197mm		1
centerville		1
normangee		1
mexia		1
10–11in		1
250–280mm		1
buttonwood		1
wlb-306		1
8.67ft		1
5.5ft		1
10–12ft		1
3.0–3.7m		1
12.1ft		1
simon-art		1
stormtwenty-three		1
scalea		1
airsta		1
airstas		1
flightssixty		1
2,297		1
$240million		1
5.51in		1
$166million		1
$399million		1
$76.9million		1
$55.3million		1
1,318		1
782		1
paymenton		1
gratified		1
reviewdue		1
deviated		1
region-wide		1
dayselenas		1
mississippiover		1
borderincluding		1
pascagoulaexperienced		1
28after		1
mid-to-upper-level		1
segmentsextrapolation		1
slackened		1
cloud-filledthe		1
detour		1
nudged		1
bumper-to-bumper		1
west–east		1
573,000		1
heightening		1
standbyin		1
restless		1
shortageslate		1
eagerness		1
545,000were		1
grahams		1
courseaccording		1
billionin		1
unsecured		1
churning		1
oyster-catching		1
higher-than-normal		1
5.2ft		1
10.5ft		1
31outer		1
15.67in		1
398mm		1
11.31in		1
287mm		1
coastfarther		1
centeralso		1
10.57in		1
268mm		1
inconsequentialstorm-heightened		1
belleair		1
vehiclesthough		1
8.2ft		1
quasi-permanent		1
bunces		1
keyan		1
countylost		1
overwashing		1
gandy		1
sliding-glass		1
destroyedpinellas		1
forty-four		1
irreparably		1
2.7mi		1
4.3km		1
2.15mi		1
3.46km		1
countyelenas		1
bulkhead		1
locationswhen		1
shelterthe		1
8.4ft		1
2.6m		1
islandwith		1
first-hand		1
millionwindspeeds		1
8,000,000lb		1
3,600,000kg		1
struckwave		1
$715,000		1
1,345		1
damagealong		1
7.9ft		1
5.6ft		1
5.43ft		1
1.66m		1
countiesharrison		1
disarray		1
countyparticularly		1
biloxiwas		1
once-in-50-year		1
farmsthere		1
squall-like		1
2,290		1
billionafter		1
franklinton		1
bogalusawinds		1
losseselena		1
shrunken		1
112ft		1
louisianaprecipitation		1
8.95in		1
itsignificant		1
paducah		1
usedearly		1
rainshowers		1
residentshurricane		1
countieswhere		1
workbecame		1
corporationsincluding		1
texaco		1
jc		1
penneycontacted		1
feedbackin		1
trucked		1
accordinglyafter		1
by-town		1
intoxicated		1
partiesto		1
out-of-work		1
catchers		1
countyon		1
propertys		1
preliminarily		1
1990power		1
stormmississippi		1
allain		1
5by		1
procure		1
october2before		1
48homes		1
1985usd[nb		1
centrea		1
wave[nb		1
465mi		1
750km		1
0120utc		1
extrapolated		1
13kmafter		1
46.9ft		1
14.3m		1
stormabout		1
europeearly		1
warningswhile		1
19.5hours		1
surge[nb		1
7,300evacuated		1
380,000people		1
useofficials		1
countrywould		1
100,000citizens		1
900,000tourists		1
weekendsoffices		1
expectedat		1
coveragehurricane		1
1960while		1
5.9ft		1
0.4ft		1
9.7in		1
$8.1million		1
$2.4million		1
treethroughout		1
9.17in		1
233mm		1
7.19in		1
virginiahigh		1
3,000houses		1
evacuatewhile		1
6.00in		1
charlotteburg		1
linethough		1
6.04inches		1
237,000		1
timewhile		1
6.9ft		1
8.04in		1
unadilla		1
88.4mm		1
parkalong		1
14injuries		1
mainlandit		1
wbli-fm		1
farmingville		1
bayport		1
48houses		1
683,000people		1
dayswhile		1
6.90in		1
727,000residents		1
$91million		1
injurieshurricane-force		1
boatin		1
framingham		1
